date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2016-12-09,0,0,204,False,Recommended,Футбол на машинах!Чего можно ещё ожидать от этой игры?Конечно же крутые треки в главном меню редактор машин большое количество скинов и кейсов!Если вы любите футбол то эта игра для вас если вы любите 3адрoтить и бомбить то эта игра для вас да и вообще просто эта игра для вас!100/10,Rocket League®
2016-12-04,0,0,109,False,Recommended,Since the addition of the option to opt out of cross platform play I can play without crazy lags where the ball literally dodged your car so it's been really fun and really good to play this game.,Rocket League®
2016-11-25,0,0,63,False,Recommended,Threw controler at my monitor multiple times...I have spent $1 200 in property damage cause of this game. Worth every god damn penny. Buy it now!,Rocket League®
2018-01-23,0,0,1854,False,Recommended,OP Game Just Download IT,Rocket League®
2018-03-21,0,0,134,False,Recommended,.,Rocket League®
2018-03-21,0,0,473,False,Recommended,i hit dia 3 today and im still loving the game ever since i have switched from ps4 it keeps improving with a lot of updates and events it is a game i have spent 600 + hours if you count my ps4 hours with my pc hours and i strongly recommend this game its easy to learn but hard to master so im still trying to get to champion in 3s so close!!!,Rocket League®
2017-03-05,0,0,432,False,Recommended,Product received for free. araplar oynamazsa güzel oyun,Rocket League®
2018-03-21,0,0,183,False,Recommended,It's as good as it looks.,Rocket League®
2018-03-21,0,0,35,False,Recommended,In my opinion this is one of the most enjoyable games ever made.,Rocket League®
2018-03-21,0,0,382,False,Recommended,What a game !What a game !What a game !,Rocket League®
2018-06-07,0,0,53,False,Recommended,A lot of fun to play with friends!,Rocket League®
2018-06-14,0,0,378,False,Recommended,So fun and entertaining. You can either play this game professionally which takes a lot of skill or you can play it after a long day to have fun.,Rocket League®
2018-06-14,0,0,1118,False,Recommended,Super simple concept drive around and score goals. But it's not as easy as it looks! Which is why this game is so addictive and rewarding as you begin to learn the real mechanics of FLIGHT behind the wheel.,Rocket League®
2018-06-14,0,0,32,False,Recommended,It's a great game.I myself only got it for a gamenight with the guys since they all had it and barely played it.Decided to invest an hour and actually quite enjoyed it. It's cross platform meaning you can play with the 3 main consoles (as of now).It's actually more in depth than meets the eye with a thriving community not to mentio the devs are EXTREMELY active updating it on a regular basis and pushing out various events here and there. I myself got it on a steam sale but I highly reccomend it as it will grow on you and you will sink some hours into the game.(as a little extra the achievements are pretty neat too!),Rocket League®
2018-06-14,0,0,4330,False,Recommended,It's OK.(As you check hours played...),Rocket League®
2016-04-20,0,0,1060,False,Recommended,With almost 1000 hrs what I can say is its defenitly fun the player base is huge over 300k+ players on everyday cross platform. The community in game is toxic af but u will die laughing when they are toxic. Highly reccomended.,Rocket League®
2018-06-14,0,0,421,False,Recommended,Rocket League is the very definition of easy to learn hard to master.It's a must buy whether on sale or not 20 dollars doesn't do this game justice.,Rocket League®
2018-06-14,0,0,201,False,Recommended,I've been playing this game off and on for years and I can say that it's awesome. I convinced a few of my buddies to pick the game up when it first came out and honestly it was some of the most fun I've ever had with a video game messing around with them in custom games. Years later now I still play the ranked mode with one of them and we still love it. This comes from the games easy to learn but HARD to master mechanics that are overall extremely solid. I have about 200 hours now and it feels amazing controlling my car though I still have a lot to master. There is lots of capacity for hilarious and silly things to happen for beginners and awesome stunts to pull off for experienced players. The music is perfect and pairs well with the bright and colorful art style of the game which is beautiful and makes customizing your car and making it your own very satisfying because there are so many options. Frequent updates and content additions top it off as a great example of how to be a great developer. An absolutley awesome value for $20 and I can recommend this game to literally anyone.,Rocket League®
2016-11-24,0,0,453,False,Not Recommended,Unbalanced matchmaking it's so annoying.,Rocket League®
2018-06-09,0,0,118,False,Recommended,If you're sick of all the games that are around and want something new fun and exciting. This game is the fresh breath of air you're seeking for.,Rocket League®
2016-11-26,0,0,1239,False,Not Recommended,bad game,Rocket League®
2018-08-31,0,0,84,False,Recommended,good game,Rocket League®
